kernel,C,accuracy,latency_ms_per_sample,train_time_s,n_train,n_test,n_features,seed,test_size
linear,0.1,0.9983333333333333,0.03793566665586291,0.09169500001007691,7200,1800,42,42,0.2
linear,1.0,0.9994444444444445,0.02178272222712015,0.08661090000532568,7200,1800,42,42,0.2
linear,10.0,0.9994444444444445,0.019932111123731982,0.08716950000962242,7200,1800,42,42,0.2
linear,100.0,0.9994444444444445,0.01973266664814825,0.08850680000614375,7200,1800,42,42,0.2
poly,0.1,0.8477777777777777,0.63570455554226,1.438443799968809,7200,1800,42,42,0.2
poly,1.0,0.9966666666666667,0.27554272221297854,0.8634715999942273,7200,1800,42,42,0.2
poly,10.0,0.9994444444444445,0.09987011112065779,0.41788219998124987,7200,1800,42,42,0.2
poly,100.0,1.0,0.08476049998231854,0.4019362999824807,7200,1800,42,42,0.2
rbf,0.1,0.9705555555555555,1.708378277770761,2.754879800020717,7200,1800,42,42,0.2
rbf,1.0,0.9977777777777778,0.602203333336446,0.8127503999858163,7200,1800,42,42,0.2
rbf,10.0,0.9994444444444445,0.3170547777618695,0.5349076999700628,7200,1800,42,42,0.2
rbf,100.0,1.0,0.30473800000941587,0.5287602000171319,7200,1800,42,42,0.2
sigmoid,0.1,0.5877777777777777,1.0685803888676066,3.734579899988603,7200,1800,42,42,0.2
sigmoid,1.0,0.5522222222222222,0.7851453333407536,1.5963109000003897,7200,1800,42,42,0.2
sigmoid,10.0,0.5338888888888889,0.722411888903783,1.0916272000176832,7200,1800,42,42,0.2
sigmoid,100.0,0.5377777777777778,0.6915014444449399,0.980843500001356,7200,1800,42,42,0.2
